City,State,Zip,Longitude,Latitude
LaGrange,GA,30241,-84.9736,33.0399
Locust Grove,GA,30248,-84.1236,33.3533
Macon,GA,31206,-83.7221,32.8072
Macon,GA,31210,-83.6852,32.9046
Newnan,GA,30265,-84.7581,33.3971
Norcross,GA,30093,-84.201,33.9142
Pooler,GA,31322,-81.2406,32.1142
Rome,GA,30161,-85.1533,34.2222
Roswell,GA,30076,-84.3288,34.0244
Savannah,GA,31405,-81.113,32.0152
Savannah,GA,31406,-81.1265,32
Savannah,GA,31419,-81.2815,32.0027
Snellville,GA,30078,-84.0365,33.8532
Statesboro,GA,30458,-81.7822,32.408
Stockbridge,GA,30281,-84.2743,33.5532
Union City,GA,30291,-84.5378,33.5743
Valdosta,GA,31601,-83.3277,30.8404
Carter Lake,IA,51510,-95.9141,41.281
Clive,IA,50325,-93.7798,41.6025
Davenport,IA,52807,-90.5233,41.5522
Boise,ID,83704,-116.2811,43.6107
Boise,ID,83705,-116.2144,43.5786
Caldwell,ID,83605,-116.6616,43.6619
Coeur d Alene,ID,83814,-116.7909,47.6969
Idaho Falls,ID,83406,-111.982,43.4755
Meridian,ID,83642,-116.3566,43.5976
Moscow,ID,83843,-117.0375,46.7339
Sandpoint,ID,83864,-116.5519,48.276
Twin Falls,ID,83301,-114.4693,42.592
Arlington Heights,IL,60004,-87.9998,42.1389
Bannockburn,IL,60015,-87.8846,42.1967
Bloomington,IL,61701,-89.0237,40.4838
Bolingbrook,IL,60440,-88.0849,41.6755
Champaign,IL,61820,-88.2447,40.1385
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60606,-87.6353,41.8816
Chicago,IL,60615,-87.5858,41.8061
Collinsville,IL,62234,-90.017,38.6829
Elk Grove Village,IL,60007,-87.9584,42.0225
Gurnee,IL,60031,-87.9442,42.378
Hoffman Estates,IL,60195,-88.1459,42.0626
Matteson,IL,60443,-87.7407,41.5028
Moline,IL,61265,-90.4991,41.4564
Oakbrook Terrace,IL,60181,-87.9736,41.8478
OFallon,IL,62269,-89.9387,38.5885
Peru,IL,61354,-89.13,41.3631
Schaumburg,IL,60173,-88.0377,42.0383
Tinley Park,IL,60477,-87.7942,41.5574
Willowbrook,IL,60527,-87.9431,41.745
Auburn,IN,46706,-85.078,41.3649
Columbus,IN,47201,-85.9609,39.199
Evansville,IN,47715,-87.4549,37.9785
Fort Wayne,IN,46825,-85.1055,41.1788
Frankfort,IN,46041,-86.5453,40.2778
Greenwood,IN,46143,-86.076,39.6156
Indianapolis,IN,46203,-86.0804,39.702
Indianapolis,IN,46204,-86.1502,39.7669
Indianapolis,IN,46219,-86.0108,39.8019
Indianapolis,IN,46219,-86.0397,39.797
Indianapolis,IN,46241,-86.2583,39.7271
Indianapolis,IN,46241,-86.2509,39.7282
Indianapolis,IN,46268,-86.2281,39.92
Lafayette,IN,47905,-86.8155,40.4132
Merrillville,IN,46410,-87.32,41.4695
Plainfield,IN,46168,-86.3668,39.6736
South Bend,IN,46628,-86.3138,41.6965
Dodge City,KS,67801,-100.0473,37.7545
Emporia,KS,66801,-96.2189,38.4218
Lenexa,KS,66215,-94.7303,38.9582
Olathe,KS,66061,-94.8191,38.8559
Overland Park,KS,66212,-94.6707,38.9352
Salina,KS,67401,-97.6105,38.8784
Wichita,KS,67207,-97.251,37.6791
Wichita,KS,67209,-97.4065,37.6733
Bowling Green,KY,42104,-86.4183,36.9306
Elizabethtown,KY,42701,-85.8329,37.7092
Florence,KY,41042,-84.6356,39.0119
Lexington,KY,40509,-84.3851,37.9607
Lexington,KY,40511,-84.4816,38.1006
Louisville,KY,40213,-85.7279,38.1926
Louisville,KY,40299,-85.5363,38.221
Paducah,KY,42001,-88.6829,37.0861
Richmond,KY,40475,-84.3128,37.7694
Alexandria,LA,71303,-92.5216,31.3459
Baton Rouge,LA,70808,-91.1505,30.4259
Baton Rouge,LA,70809,-91.0637,30.3824
Baton Rouge,LA,70816,-91.0076,30.4464
Bossier City,LA,71111,-93.7129,32.5182
Boutte,LA,70039,-90.4124,29.8899
Broussard,LA,70518,-91.9489,30.1433
Covington,LA,70433,-90.1368,30.4487
Gonzales,LA,70737,-90.9504,30.2077
Gretna,LA,70056,-90.0392,29.9246
Hammond,LA,70403,-90.456,30.4688
