ID,Rural,Income,Race,Expenditure,Kids
1000296,0,11634,1,2345,0
1000297,0,27000,1,6715.5001,1
1000298,0,25000,6,6410.2501,0
1000299,0,50000,1,9927.25,0
1000300,0,12000,2,2649.5,0
1000301,0,14000,1,20613,0
1000302,1,26200,1,9567,0
1000303,0,36531,2,7233.7501,0
1000304,0,110000,1,19339.75,2
1000305,0,32378,1,12233.5,2
1000306,0,28327,1,8750.5,0
1000307,0,14826,6,19684.5,0
1000308,0,3150,4,23985.45,0
1000309,0,60000,1,13877.2832,0
1000310,0,87752,1,14926.4999,0
1000311,0,87600,6,12053,0
1000312,0,18000,1,8721.25,0
1000313,0,40000,1,9672,0
1000314,0,110000,4,11824.85,0
1000315,0,250000,1,25048.3332,0
1000316,0,100000,1,51150.6,0
1000317,0,10700,1,1019.75,0
1000318,0,125000,1,30808.75,0
1000319,0,55506,1,10049.25,0
1000320,0,206000,1,33490.9998,0
1000321,0,18489,4,8104.5,0
1000322,0,181700,1,22431.2501,0
1000323,0,157000,2,13686.6333,2
1000324,0,93000,1,12661.45,1
1000325,1,882,1,4012,0
1000326,0,38375,1,12298,0
1000327,0,77226,1,11715.5,1
1000328,0,15526,1,6706,0
1000329,0,33462,1,17381.5,0
1000330,0,117371,1,24230.8163,0
1000331,1,77000,1,9227.8002,0
1000332,0,21074,1,14598,0
1000333,0,343084,1,29644.2501,1
1000334,0,102000,2,9573.2499,0
1000335,0,37000,2,6363.7501,0
1000336,0,43226,1,10915.25,0
1000337,0,99000,1,17423.15,0
1000338,0,47932,2,13170,0
1000339,0,3135,2,3122,0
1000340,0,33000,2,6465.2501,0
1000341,0,64000,1,8377.25,0
1000342,0,23016,4,8388.0001,2
1000343,0,17600,1,14078.25,1
1000344,0,24048,1,6591.25,3
1000345,0,75000,1,14725.5999,2
1000346,0,77000,1,15563.7501,2
1000347,0,24000,1,5344.3002,0
1000348,0,92000,1,24379.2499,2
1000349,0,75000,1,15222.65,0
1000350,0,7440,2,8410.75,3
1000351,0,52000,1,17232.6499,2
1000352,0,22000,1,11745.75,0
1000353,0,80700,2,13501.7501,0
1000354,0,58762,1,16053.2501,0
1000355,0,3200,1,4315,0
1000356,0,35000,1,12830.5001,0
1000357,0,167000,1,31969.5003,1
1000358,0,37626,1,9237,0
1000359,0,31000,2,5331.5001,0
1000360,0,28452,1,7301,0
1000361,0,9085,1,5847,2
1000362,0,99100,1,11481.2502,0
1000363,0,60000,1,8896.5,0
1000364,0,16404,1,4920.5,0
1000365,0,110100,1,9461.75,0
1000366,1,46644,1,14968.2499,0
1000367,0,13328,1,38206,0
1000368,0,57000,1,6549.2501,0
1000369,0,36000,1,4799.5,0
1000370,0,43200,1,15501.2501,1
1000371,0,14580,1,3074,0
1000372,0,41148,1,7303.9999,0
1000373,0,22494,1,6274,0
1000374,0,75000,1,13220.5001,0
1000375,0,85000,4,19488.0332,1
1000376,0,42000,1,7464.4999,0
